Has Angelika Kratzer video messaged me ?	[IN:GET_MESSAGE [SL:CONTACT @ptr1 @ptr2 SL:CONTACT] [SL:TYPE_CONTENT @ptr3 SL:TYPE_CONTENT] [SL:RECIPIENT @ptr5 SL:RECIPIENT] IN:GET_MESSAGE]
Maricopa County weather forecast for this week	[IN:GET_WEATHER [SL:LOCATION @ptr0 @ptr1 SL:LOCATION] [SL:DATE_TIME @ptr4 @ptr5 @ptr6 SL:DATE_TIME] IN:GET_WEATHER]
When will alarm my next start	[IN:GET_ALARM [SL:ORDINAL @ptr4 SL:ORDINAL] IN:GET_ALARM]
text Matthew and Helen that are you free	[IN:SEND_MESSAGE [SL:RECIPIENT @ptr1 SL:RECIPIENT] [SL:RECIPIENT @ptr3 SL:RECIPIENT] [SL:CONTENT_EXACT @ptr5 @ptr6 @ptr7 SL:CONTENT_EXACT] IN:SEND_MESSAGE]
what ingredients do is have left	[IN:GET_INFO_RECIPES [SL:RECIPES_ATTRIBUTE @ptr1 SL:RECIPES_ATTRIBUTE] IN:GET_INFO_RECIPES]
I am no longer available	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Cancel reminder my about dentist appointment my	[IN:DELETE_REMINDER [SL:PERSON_REMINDED @ptr2 SL:PERSON_REMINDED] [SL:TODO @ptr4 @ptr5 @ptr6 SL:TODO] IN:DELETE_REMINDER]
I would like a news update .	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE @ptr4 SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Read Health newreport please	[IN:GET_STORIES_NEWS [SL:NEWS_CATEGORY @ptr1 SL:NEWS_CATEGORY] [SL:NEWS_TYPE @ptr2 SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Set alarm	[IN:CREATE_ALARM  IN:CREATE_ALARM]
make an alarm go off tomorrow morning	[IN:CREATE_ALARM [SL:DATE_TIME @ptr5 @ptr6 SL:DATE_TIME] IN:CREATE_ALARM]
do I have What reminders on Friday ?	[IN:GET_REMINDER [SL:PERSON_REMINDED @ptr1 SL:PERSON_REMINDED] [SL:DATE_TIME @ptr5 @ptr6 SL:DATE_TIME] IN:GET_REMINDER]
